cid,isosmiles,mw,polararea,complexity,heavycnt,hbonddonor,hbondacc,rotbonds,mp
3793,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,705.6,101.0,1120.0,49,0,9,11,166.2
3806,C1=CC2=C(C(=O)C=CC2=O)C(=C1)O,174.15,54.4,280.0,13,1,3,0,155.0
3821,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,237.72,29.1,269.0,16,1,2,2,92.5
3822,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O,395.4,69.7,627.0,29,1,5,5,231.0
3823,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,531.4,69.1,735.0,36,0,6,7,146.0
3825,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,254.28,54.4,331.0,19,1,3,4,94.0
3826,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O,255.27,59.3,376.0,19,1,3,3,160.5
3830,C1=COC(=C1)CNC2=NC=NC3=C2NC=N3,215.21,79.6,239.0,16,2,5,3,266.5
3848,C1=CC=C(C=C1)CC(C(=O)O)O,166.17,57.5,150.0,12,2,3,3,98.0
3866,C1=CC=C(C=C1)C(C(=O)O)N,151.16,63.3,141.0,11,2,3,2,290.0
3869,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,328.4,95.6,385.0,24,4,4,8,188.0
3884,CC(=CCC1=C(C2=CC=CC=C2C(=O)C1=O)O)C,242.27,54.4,439.0,18,1,3,2,139.5
3893,CCCCCCCCCCCC(=O)O,200.32,37.3,132.0,14,1,2,10,43.5
3899,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,270.21,55.1,327.0,19,1,6,2,166.5
3947,CN(CCCN1C2=CC=CC=C2CCC3=CC=CC=C31)CC(=O)C4=CC=C(C=C4)Cl,419.0,23.6,523.0,30,0,3,7,105.0
3948,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O,351.35,72.9,586.0,25,2,8,3,239.75
3957,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,382.9,42.4,569.0,27,0,3,2,135.0
3958,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,321.2,61.7,443.0,21,2,3,1,167.0
3961,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,422.9,92.5,520.0,30,2,5,8,184.0
3964,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,327.8,28.1,450.0,23,0,3,1,109.5
4004,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,330.4,128.0,341.0,19,0,8,11,3.11
4005,CCC(C)C1C(=O)NC2CSSCC(C(=O)NC(C(=O)NC(C(=O)N1)CC(C)C)C(C)C)NC2=O,529.7,196.0,809.0,35,5,7,5,0.0
4011,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,277.4,12.0,339.0,21,1,1,4,93.0
4030,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,295.29,84.1,423.0,22,2,4,4,288.5
4033,CN(CCCl)CCCl,156.05,3.2,43.7,8,0,1,4,-60.0
4037,CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl,296.1,49.3,327.0,19,2,3,3,257.0
4044,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,241.28,49.3,292.0,18,2,3,3,230.5
4054,CC12CC3CC(C1)(CC(C3)(C2)N)C,179.3,26.0,240.0,13,1,1,0,258.0
4055,CC1=CC(=O)C2=CC=CC=C2C1=O,172.18,34.1,289.0,13,0,2,0,107.0
4056,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,444.6,34.1,855.0,33,0,2,11,54.0
4058,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2,247.33,29.5,276.0,18,0,3,4,270.0
4062,CC1=C(C(=CC=C1)C)NC(=O)C2CCCCN2C,246.35,32.299,282.0,18,1,2,2,150.5
4064,CCCC(C)(COC(=O)N)COC(=O)N,218.25,105.0,212.0,15,2,4,8,105.0
4066,C1CN2CCC1C(C2)CN3C4=CC=CC=C4SC5=CC=CC=C53,322.5,31.8,398.0,23,0,3,2,130.5
4075,C1=CC(=C(C=C1N)C(=O)O)O,153.14,83.6,160.0,11,3,4,1,283.0
4076,COC1=CC(=CC(=C1OC)OC)CCN,211.26,53.7,163.0,15,1,4,5,35.5
4086,CC(C)NCC(C1=CC(=CC(=C1)O)O)O,211.26,72.7,177.0,15,4,4,4,100.0
4093,CC(=C)C(=O)O,86.09,37.3,83.5,6,1,2,1,16.0
