cid,isosmiles,mw,polararea,complexity,heavycnt,hbonddonor,hbondacc,rotbonds,mp
7861,COC=C,58.08,9.2,17.2,4,0,1,1,-122.0
7863,CC=NO,59.07,32.6,25.2,4,1,2,0,45.0
7864,COCCl,80.51,9.2,10.0,4,0,1,1,-103.62
7865,COC=O,60.05,26.3,18.0,4,0,2,1,-99.6
7868,CC(=C)CC(C)(C)C,112.21,0.0,82.7,8,0,0,2,-93.33
7869,CC(=CC(C)(C)C)C,112.21,0.0,87.1,8,0,0,1,-106.2
7870,CC(CC(C)(C)O)O,118.17,40.5,68.9,8,2,2,2,-50.0
7877,CC(C)(C)NC(=O)C=C,127.18,29.1,121.0,9,1,1,2,128.5
7883,C(C(Cl)(Cl)Cl)OC(=O)N,192.42,52.3,110.0,9,1,2,2,64.0
7884,CC(=O)CC(C)(C)OC,130.18,26.3,106.0,9,0,2,3,-30.0
7891,CC(C)CCBr,151.04,0.0,25.1,6,0,0,2,-112.0
7892,CCCC(C)C,86.18,0.0,21.2,6,0,0,2,-153.3
7893,CC(C)CCCl,106.59,0.0,25.1,6,0,0,2,-104.4
7895,CCCC(=O)C,86.13,17.1,47.9,6,0,1,2,-77.15
7899,C(CCl)C(=O)O,108.52,37.3,52.8,6,1,2,2,41.0
7900,CC(COC)O,90.12,29.5,28.7,6,1,2,2,-95.33
7907,CC(C)CC(C)C,100.2,0.0,29.3,7,0,0,2,-119.9
7909,CC(C)CC(=O)C,100.16,17.1,64.59899999999999,7,0,1,2,-84.42
7910,CC(C)CC(C)O,102.17,20.2,41.4,7,1,1,2,-90.0
7916,CC(=C)OC(=O)C,100.12,26.3,94.3,7,0,2,2,-92.9
7918,CC(=O)OC(=O)C,102.09,43.4,83.1,7,0,3,2,-73.1
7920,CC1=NNC(=O)C1,98.1,41.5,128.0,7,1,2,0,221.0
7921,CC1CCC(=O)O1,100.12,26.3,88.1,7,0,2,0,-31.0
7922,C1CC(=O)OC1=O,100.07,43.4,102.0,7,0,3,0,119.3
7923,C1=CC(=O)OC1=O,98.06,43.4,129.0,7,0,3,0,52.79
7924,CC1COC(=O)O1,102.09,35.5,88.9,7,0,3,0,-48.8
7927,C1=CC(=CC(=C1)Br)Br,235.9,0.0,64.9,8,0,0,0,-7.0
7928,C1=CC(=CC(=C1)Br)Cl,191.45,0.0,74.9,8,0,0,0,-21.5
7929,CC1=CC(=CC=C1)C,106.16,0.0,58.4,8,0,0,0,-47.88
7931,CC1=CC(=CC=C1)Cl,126.58,0.0,70.8,8,0,0,0,-47.8
7932,C1=CC(=CC(=C1)Cl)N,127.57,26.0,74.9,8,1,1,0,-10.27
7933,C1=CC(=CC(=C1)Cl)O,128.55,20.2,74.9,8,1,1,0,33.03
7935,C1=CC(=CC(=C1)N)N,108.14,52.0,64.9,8,2,2,0,63.5
7936,CC1=CC(=NC=C1)C,107.15,12.9,70.8,8,0,1,0,-64.0
7937,CC1=NC(=CC=C1)C,107.15,12.9,62.8,8,0,1,0,-5.97
7938,CC1=CN=CC(=N1)C,108.14,25.8,64.9,8,0,2,0,47.5
7939,CC1=NC(=NC=C1)N,109.13,51.8,74.1,8,1,3,0,160.3
7940,C1CC(=O)OC(=O)C1,114.1,43.4,114.0,8,0,3,0,56.3
7941,C=CC1=CC(=CC=C1)C=C,130.19,0.0,110.0,10,0,0,2,-52.3
7943,COC(=O)CC(=O)OC,132.11,52.6,104.0,9,0,4,4,-61.9
7944,CC(CCl)OC(C)CCl,171.06,9.2,60.1,9,0,1,4,-97.0
7945,CCOC(=O)CC(C)C,130.18,26.3,86.9,9,0,2,4,-99.3
7946,CC(COC)OC(=O)C,132.16,35.5,90.3,9,0,3,4,-66.0
7947,CC1=CC(=CC(=C1)C)C,120.19,0.0,55.0,9,0,0,0,-44.8
7948,CC1=CC(=CC(=C1)O)C,122.16,20.2,80.6,9,1,1,0,63.87
7949,CC1=CC(=CC(=C1)N)C,121.18,26.0,80.6,9,1,1,0,9.8
7950,C1=C(C=C(C=C1Cl)Cl)Cl,181.4,0.0,63.3,9,0,0,0,63.1
7952,CN1CN(CN(C1)C)C,129.19899999999998,9.7,63.3,9,0,3,0,-27.0
7956,C1(=O)NC(=O)NC(=O)N1,129.07,87.3,136.0,9,3,3,0,360.0
7959,CC(C)CC(C)OC(=O)C,144.21,26.3,108.0,10,0,2,4,-64.0
7960,C1CCC(CC1)Br,163.06,0.0,46.1,7,0,0,0,-56.5
7961,C1=CC=C(C=C1)Br,157.01,0.0,46.1,7,0,0,0,-30.65
7962,CC1CCCCC1,98.19,0.0,42.0,7,0,0,0,-126.63
7963,CC1=CC=NC=C1,93.13,12.9,46.1,7,0,1,0,3.68
7964,C1=CC=C(C=C1)Cl,112.55,0.0,46.1,7,0,0,0,-45.15
7965,C1CCC(CC1)N,99.17,26.0,46.1,7,1,1,0,-17.77
7968,C1=COC=CC1=O,96.08,26.3,119.0,7,0,2,0,32.5
7970,CC1=CN=CC=C1,93.13,12.9,52.1,7,0,1,0,-18.07
7976,CC1=NC=CN=C1,94.11,25.8,54.0,7,0,2,0,-29.0
